,churn_count,churn_percentage,tenure_mean_by_churn,monthly_charges_mean_by_churn,tenure_stats_by_churn,monthly_charges_stats_by_churn,churn_by_charge_group
0,5163.0,73.42150170648463,37.65000968429208,61.307408483439865,,,
1,1869.0,26.578498293515356,17.979133226324237,74.44133226324237,,,
count,,,,,"{0: 5163.0, 1: 1869.0}","{0: 5163.0, 1: 1869.0}",
mean,,,,,"{0: 37.65000968429208, 1: 17.979133226324237}","{0: 61.307408483439865, 1: 74.44133226324237}",
std,,,,,"{0: 24.076940499817656, 1: 19.531123054519615}","{0: 31.09455690667259, 1: 24.666053259397426}",
min,,,,,"{0: 1.0, 1: 1.0}","{0: 18.25, 1: 18.85}",
25%,,,,,"{0: 15.0, 1: 2.0}","{0: 25.1, 1: 56.15}",
50%,,,,,"{0: 38.0, 1: 10.0}","{0: 64.45, 1: 79.65}",
75%,,,,,"{0: 61.0, 1: 29.0}","{0: 88.475, 1: 94.2}",
max,,,,,"{0: 72.0, 1: 72.0}","{0: 118.75, 1: 118.35}",
"(18.15, 38.35]",,,,,,,0.11446119486320491
"(38.35, 58.45]",,,,,,,0.27018943170488535
"(58.45, 78.55]",,,,,,,0.29523809523809524
"(78.55, 98.65]",,,,,,,0.3698630136986301
"(98.65, 118.75]",,,,,,,0.3005725190839695
