Feature,Mean_Abs_SHAP
Contract_Two year,0.4122741669955702
tenure,0.3581053152911899
tenure_group,0.3366926085881305
InternetService_Fiber optic,0.2946737473161824
PaymentMethod_Electronic check,0.27791886341107536
PaperlessBilling,0.24127365212956606
InternetService_No,0.22670541759096113
OnlineSecurity_Yes,0.1919429278505926
Dependents,0.18475896125361174
HighCharge_MonthToMonth,0.1820975065408502
TechSupport_Yes,0.1795509229608294
Contract_One year,0.17498226671854708
MonthlyCharges,0.15239766615834524
TotalCharges,0.14316204755316875
Partner,0.13925448891782036
charge_group,0.12603871734705327
SeniorCitizen,0.11533529725554614
PaymentMethod_Credit card (automatic),0.08439672327993855
StreamingTV_Yes,0.08399068275428925
StreamingMovies_Yes,0.07938379837201853
OnlineBackup_Yes,0.07903233208722972
PhoneService,0.0742289628648024
MultipleLines_Yes,0.06976581152377798
DeviceProtection_Yes,0.0318671585454213
PaymentMethod_Mailed check,0.02971871546062249
gender_Male,0.007607720989522248
