SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,gender_Male,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,charge_group,tenure_group,HighCharge_MonthToMonth,Churn_Probability,Predicted_Churn
0,1,1,0.8169014084507042,1,1,0.5741293532338309,0.5219882298638358,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,3,3,0,0.018125556451839886,0
0,0,0,0.08450704225352114,1,1,0.6,0.05817562889453036,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0.6300053687183367,1
0,0,0,0.7464788732394366,1,0,0.01840796019900498,0.1223921070851604,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,3,0,0.006257513807928726,0
0,0,0,0.014084507042253521,1,0,0.023880597014925342,0.0022963304869605353,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.19331038460750577,0
0,1,0,0.9859154929577465,1,1,0.8646766169154229,0.8696284329563813,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,5,3,0,0.10232983112220005,0
0,0,0,0.8309859154929577,1,1,0.8721393034825872,0.7359393030233095,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,5,3,1,0.45219267475139524,0
0,1,1,0.4507042253521127,1,0,0.05870646766169152,0.09018001384721902,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0.028223851675005348,0
0,0,0,0.08450704225352114,1,0,0.023880597014925342,0.01582044772674821,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.1736463572507484,0
0,1,1,0.18309859154929578,1,1,0.6865671641791045,0.14306485114239556,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,4,1,1,0.6506142690033858,1
0,0,0,1.0,0,1,0.42736318407960205,0.5044368797599815,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,3,3,0,0.021047257648164536,0
1,1,0,0.04225352112676056,1,1,0.5169154228855721,0.03018116778213709,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0.7213143758982207,1
0,0,0,0.11267605633802817,1,0,0.014427860696517386,0.01868220632356335,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.159776409384803,0
0,1,0,0.18309859154929578,1,1,0.5955223880597014,0.12734825755827373,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0.6546930393766308,1
0,1,1,0.5070422535211268,0,1,0.218407960199005,0.17384606508192937,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,2,2,0,0.06143473134482808,0
0,1,1,0.4084507042253521,0,0,0.3278606965174129,0.1780175398107547,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,2,2,0,0.2128282012367486,0
0,0,0,0.014084507042253521,1,1,0.7179104477611941,0.017239787675975074,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,4,0,1,0.7796906690223414,1
0,0,0,0.02816901408450704,1,0,0.5646766169154228,0.021959381490883913,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0.637519456971801,1
0,0,0,0.295774647887324,1,1,0.607960199004975,0.1975017309023771,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,3,1,1,0.5558158517729523,1
0,0,0,0.11267605633802817,1,1,0.49751243781094523,0.06440687745211171,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,3,0,0,0.24726495692123338,0
0,0,0,0.9859154929577465,1,0,0.072636815920398,0.21685898915301177,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0.005221815831241063,0
0,1,1,0.971830985915493,1,1,0.009452736318407956,0.15954304177244405,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0.004367722602058288,0
0,0,0,0.04225352112676056,1,1,0.4592039800995025,0.02702515578121394,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0.46430226503680744,0
0,0,0,0.0,1,1,0.308955223880597,0.003519501500115393,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0.39380538818991623,0
0,1,1,0.6619718309859155,1,1,0.845771144278607,0.5791310870066928,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,5,2,0,0.17933537959115628,0
0,0,0,0.04225352112676056,1,1,0.01691542288557213,0.004667666743595662,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.23367860281689593,0
1,1,0,0.5211267605633804,1,1,0.564179104477612,0.3289926148165243,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0.4413645125909597,0
0,0,0,0.08450704225352114,1,0,0.05223880597014924,0.017793676436648972,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.22431383115746784,0
0,1,1,0.7605633802816901,1,1,0.3681592039800995,0.35784675744288025,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,2,3,0,0.011650337664323634,0
0,1,1,0.676056338028169,1,0,0.4114427860696518,0.34058389106854375,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,2,3,0,0.025330172311071417,0
1,1,0,0.8591549295774649,1,1,0.8507462686567163,0.734427648280637,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,5,3,0,0.3088007925587136,0
1,1,0,0.6619718309859155,1,1,0.40497512437810945,0.3197438264481883,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,2,0,0.07484863155536711,0
0,0,0,0.0,1,1,0.5059701492537313,0.005804292637895223,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0.6993946252206104,1
0,0,0,0.0,1,1,0.014925373134328346,0.0001096238172167089,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.24878207509749897,0
0,1,1,0.9154929577464789,1,1,0.44825870646766164,0.4812947149780752,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,3,3,0,0.02414791759896548,0
1,1,0,0.0,1,1,0.5194029850746269,0.005960073851834756,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0.6775795384559623,1
0,0,0,0.02816901408450704,1,0,0.7179104477611941,0.028807985229633046,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,4,0,1,0.6237357030436944,1
0,0,0,0.3943661971830986,1,1,0.3681592039800995,0.18479113777982922,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,2,0,0.1395529178372257,0
0,1,0,0.8450704225352113,0,1,0.43681592039800987,0.4338852988691438,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,3,3,0,0.027506257680874405,0
0,0,0,0.0,1,0,0.023383084577114438,0.00020770828525271167,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.19382773076330198,0
0,0,0,0.14084507042253522,1,0,0.2681592039800995,0.05460420032310178,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0.2805166161874893,0
0,1,0,0.6056338028169015,1,1,0.43034825870646765,0.3119547657512116,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,3,2,0,0.039777977943970526,0
0,1,0,0.6619718309859155,1,0,0.009950248756218888,0.09650357719824602,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0.009043818834456287,0
0,1,1,0.9295774647887325,1,1,0.9248756218905473,0.8668359104546504,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,5,3,0,0.06469096871562287,0
